rango_altura;numero_ejemplares;porcentaje_total
Hasta 2 m;767;4.65
Más de 2 hasta 5 m;3675;22.26
Más de 5 hasta 10 m;5482;33.2
Más de 10 hasta 15 m;4353;26.37
Más de 15 hasta 20 m;1722;10.43
Más de 20 hasta 30 m;503;3.05
Más de 30 m;7;0.04
No disponible;1;0.01
